"1939 Sep 4","Ban of Sunday sport on Park Lands"," remains in force until 1967",,
1940,"Petrol rationing commences",,,
"1940 Oct 23","Opening of North Adelaide's first cinema"," the Piccadilly Cinema",,
1941,"Large scale coal mining at Leigh Creek commences",,,
"1941 Apr 19","Pioneer Women's Memorial Garden opened by Lady Muriel Barclay-Harvey",,,
1942,"Rationing of tea"," sugar and clothing",,
1942,"Commonwealth ban on building in Second World War",,,
1942,"Compulsory voting for House of Assembly begins",,,
"1942 Jan","Construction of air raid shelters in Park Land commences",,,
"1942 Jan 8","5KA & 5AU closed down (subversive activities)",,,
1943,"Rationing of butter",,,
1944,"Rationing of meat",,,
1944,"First state election with compulsory voting",,,
"1944 Aug 16","Filling in air raid shelters on Park Lands commences",,,
"1944 Dec 24","First Carols by candlelight",,,
1945,"War ends",,,
1946,"ETSA established",,,
1946,"New policy for Park Lands formulated",,,
1947,"First 'displaced persons' arrived mainly from Baltic States",,,
1948,"Holden car goes into full-scale production",,,
1948,"40 hour week introduced",,,
1950,"Petrol rationing ceases",,,
1951,"Adelaide High School opens off West Terrace",,,
1952,"West Terrace Observatory"," dating from 1873 demolished",,
"1953 Aug 22","Circus uses the site that became Bonython Park for first time",,,
"1954 Mar 1","Earthquake hits Adelaide",,,
"1954 Mar 1","River Murray water pumped from Mannum into met reservoirs",,,
"1954 Mar 18","Visit of Queen Elizabeth and Duke of Edinburgh",,,
"1954 Aug","Kintore Avenue made a through road",,,
"1954 Aug 11","Master plan for Adelaide and metro. area announced by premier",,,
"1954 Nov 15","Hopalong Cassidy visits Adelaide",,,
"1954 Nov 22","Death of Roy Rene (Little Mo) Adelaide born comedian",,,
"1954 Dec 28","First drive-in opens at West Beach",,,
1955,"Sunday Mail and Sunday Advertiser merge Elizabeth opens",,,
1955,"Adelaide Airport opens at West Beach",,,
1955,"National Trust of SA established",,,
1955,"Town Planning Committee Act",,,
1956,"Severe flooding of River Murray",,,
1956,"Explosion of atomic bomb at Maralinga",,,
1957,"First Land Use Survey undertaken of city",,,
1958,"Adelaide electric trams cease running except between Adelaide and Glenelg",,,
"1958 Mar 10","Parking meters installed in city",,,
"1959 Jun 30","Cessation of trams - only Glenelg tram left",,,
"1959 Sep 5","Opening of NWS 9 in former Primitive Church"," 62-80 Wellington Square"," formerly used by Joanne Priest's dancing studio from 1930s",
"1959 Dec 24","Opening of ADS 7 at 124-129 Strangways Terrace",,,
"1960 Feb 22","Rymill Park opens",,,
"1960 Mar 10","Opening of ABS 2",,,
"1960 Mar 12","First Adelaide Festival of Arts",,,
1962,"Metropolitan Adelaide Transportation Study (MATS)",,,
1962,"Demolition of Theatre Royal",,,
1963,"First metropolitan regional shopping centre established at Arndale",,,
1963,"Commonwealth Marriage Act allows outdoor weddings",,,
1963,"School leaving age raised to 15 years",,,
"1963 Jan 31","Veale Garden with restaurant opens",,,
1964,"35 miles of fencing still remaining in Park Lands",,,
"1964 Jun 12","Beatles in Adelaide",,,
1965,"The English Scottish & Australian Bank building of 1882 in King William Street"," demolished to make way for AMP building",,
1965,"First labour government since 1933 led by Frank Walsh",,,
1966,"Last major place of worship built in the city"," Greek Orthodox Church"," Franklin Street",
"1966-67","The Planning and Development Act repealing Town Planning Act of 1929-63",,,
1967,"End of 6 o'clock closing"," liquor trading hours extended to 10 pm",,
1967,"State Planning Authority established",,,
"1967 Sept-Oct","Visit by Duke of Edinburgh",,,
1968,"Metropolitan Adelaide Transportation Study MATS plan published",,,
1968,"First Australian born governor sworn in",,,
1968,"Demonstrations against Vietnam War",,,
1969,"Voluntary cessation of speakers at Hyde Park Corner"," Botanic Park",,
1970,"Abortion legalised",,,
1970,"Vietnam Moratorium",,,
1971,"First SA born governor appointed",,,
1971,"Daylight saving introduced",,,
1971,"Demolition of South Australian Hotel",,,
1972,"Abolishment of White Australia Policy",,,
1972,"University Radio 5UV begins broadcasts",,,
1973,"First Labor government to retain office since 1910. Don Dunstan",,,
"1973 Jun 2","Festival Theatre opens",,,
1974,"First Adelaide Plan. Population falls to all time low caused by direct displacement of housing by commercial activity"," public works and open lot parking",,
1975,"Council adopted City of Adelaide Plan",,,
1975,"First Come Out Festival",,,
1976,"Rundle Mall opens",,,
1976,"Demolition of 1851 Pirie Street Methodist Church for construction of Light Building. Church hall behind survives",,,
1977,"Late night shopping introduced",,,
1978,"Passing of Heritage Act",,,
1978,"Constitutional Museum Act",,,
1979,"Bank of Adelaide taken over by ANZ",,,
1979,"Facade of Marine & Harbors Building in Victoria Square moved in unique engineering feat"," 34 metres to the north to make way for SGIC building",,
1979,"Don Dunstan resigns",,,
1981,"History Trust of SA Act",,,
1982,"Direct international flights from Adelaide Airport begin",,,
1984,"State Bank amalgamates with Savings Bank",,,
1984,"Equal Opportunity Act",,,
"1984 Dec","KJ Tomkinson 'Review of opportunities for"," and feasibility of returning land occupied by Crown Agencies in the City of Adelaide Parklands to Parkland use'",,
1986,"O-Bahn guided busway opens",,,
1986,"South Australia Jubilee celebrated",,,
1986,"Migration and Settlement Museum opens",,,
1987,"Adelaide convention Centre opens",,,
"1987 Apr 27","Reformation of Adelaide Parklands Preservation Association",,,
"1987 Dec 23","Gazettal of City of Adelaide heritage Register",,,
1989,"Aboriginal Heritage Act proclaimed",,,
1989,"Bicentennial Conservatory in Botanic Gardens opened",,,
1991,"State Bank collapses",,,
1991,"University of South Australia formed",,,
1992,"The News  ceases publication",,,
1993,"Poker machines introduced",,,
1994,"Sunday trading 11-5pm begins in city",,,
1994,"Compulsory retirement abolished",,,
1998,"Closure of John Martin's store in city",,,
"2001 Aug 7","National Estate registers City of Adelaide historic layout.",,,
2004,"Demolition of 1920s buildings of the Advertiser newspaper",,,
2005,"Completion of Federal Court buildings in Angas Street",,,
